id,date,picSrc,title,link,Subtitle
17,2/9/20,https://img2.chinadaily.com.cn/images/202002/09/5e3f5c42a31012820650976c.jpeg,"Hubei adds 2,147 new novel coronavirus cases, 81 more fatalities",https://www.chinadaily.com.cn/a/202002/09/WS5e3f5bb5a31012821727605a.html,"A nurse in a protective suit feeds a novel coronavirus patient inside an isolated ward at Zhongnan Hospital of Wuhan University, during the Lantern Festival, which marks the end of the Chinese Lunar New Year celebrations, in Wuhan, Central China's Hubei province"
18,2/10/20,https://img2.chinadaily.com.cn/images/202002/10/5e40fd1ba31012820650d9da.jpeg,China united against new coronavirus,https://www.chinadaily.com.cn/a/202002/10/WS5e40fd1ba310128217276565.html,"A 9-year-old girl holds a painting sending best wishes to the Chinese people in their fight against the novel coronavirus in Sao Paulo, Brazil"
19,2/11/20,https://img2.chinadaily.com.cn/images/202002/12/5e43cc38a31012820651a239.jpeg,Novel coronavirus named COVID-19 by WHO,https://www.chinadaily.com.cn/a/202002/11/WS5e42c999a310128217276c51.html,The novel coronavirus disease has been named COVID-19 by the director general of the World Health Organization.
20,2/12/20,https://epaper.chinadaily.com.cn/images/202002/12/5e434e49a310a2fa8bc94343.png,Fewer new infections seen; more cured,https://epaper.chinadaily.com.cn/a/202002/12/WS5e434e49a310a2fabb7a2196.html,"Tedros Adhanom Ghebreyesus (in center at head of table), director-general of the World Health Organization, addresses media representatives at a news conference on Monday in Geneva, Switzerland. "
21,2/13/20,https://img2.chinadaily.com.cn/images/202002/13/5e44a1fea31012820651b9b6.jpeg,Trump's flagged health cuts raising alarm,https://www.chinadaily.com.cn/a/202002/13/WS5e44a1fea3101282172772ad.html,US President Donald Trump speaks in the Oval Office of the White House in Washington
22,2/14/20,https://img2.chinadaily.com.cn/images/202002/14/5e4614e4a3101282065244ff.jpeg,Ex-health chief seeks ban on game animal trade,https://www.chinadaily.com.cn/a/202002/14/WS5e4614e4a310128217277979.html,"Ko Wing-man, former secretary for food and health, talks to China Daily about the novel coronavirus epidemic in Hong Kong"
23,2/15/20,https://img2.chinadaily.com.cn/images/202002/15/5e46d0c3a310128206528374.jpeg,CDC confirms 15th case of coronavirus in US,https://global.chinadaily.com.cn/a/202002/15/WS5e46d0c4a310128217277b3e.html,"Eric Kasowski, quarantine Ashland team lead with the CDC (center), answers question during news conference at University of Nebraska Medical Center in Omaha"
24,2/16/20,https://img2.chinadaily.com.cn/images/202002/16/5e490fa9a31012820652fb70.jpeg,Transcript of State Councilor and Foreign Minister Wang Yi's exclusive interview with Reuters,https://www.chinadaily.com.cn/a/202002/16/WS5e490fa9a310128217277dca.html,State Councilor and Foreign Minister Wang Yi sat down with Reuters Global Managing Editor Alessandra Galloni in Berlin for an exclusive interview. 
25,2/17/20,https://img2.chinadaily.com.cn/images/202002/17/5e49f278a310128206532440.jpeg,WHO: Spend more to fight outbreak,https://www.chinadaily.com.cn/a/202002/17/WS5e49f278a310128217277fc1.html,Director-General of the World Health Organization (WHO) Tedros Adhanom Ghebreyesus speaks at the annual Munich Security Conference in Germany
26,2/18/20,https://img2.chinadaily.com.cn/images/202002/18/5e4b7932a310128206537f0b.jpeg,"WHO voices concern over stigma, profiling of people affected by COVID-19",https://www.chinadaily.com.cn/a/202002/18/WS5e4b7932a310128217278633.html,"Michael Ryan, Executive Director of the WHO Health Emergencies Programme. "
27,2/19/20,https://img2.chinadaily.com.cn/images/202002/19/5e4cd0b0a31012820653e6b3.jpeg,Full governmental and social mobilization in China,https://www.chinadaily.com.cn/a/202002/19/WS5e4cd0b0a310128217278b35.html,"Local community staff at Nanluoguxiang, a tourist street in Dongcheng district, Beijing, work at a registration point for people who return from other parts of the country"
28,2/20/20,https://img2.chinadaily.com.cn/images/202002/20/5e4d6036a31012820653fe10.jpeg,HK doctors remained in Shenzhen to fight coronavirus,https://www.chinadaily.com.cn/a/202002/20/WS5e4d6036a310128217278ca8.html,"Professor Chung-Mau Lo (middle), chief executive of the University of Hong Kong-Shenzhen Hospital patrols with mainland officials of the hospital in the emergency department"
29,2/21/20,https://img2.chinadaily.com.cn/images/202002/21/5e4f7191a310128206548b69.jpeg,China reports sufficient vegetable supplies but higher prices,https://global.chinadaily.com.cn/a/202002/21/WS5e4f7191a3101282172794f0.html,Residents shop in a Wumart store for vegetables and other daily necessities.
30,2/22/20,https://img2.chinadaily.com.cn/images/202002/22/5e5090e2a31012820654cd19.jpeg,"397 new COVID-19 cases in nation, resuming downward trend",https://www.chinadaily.com.cn/a/202002/22/WS5e508e35a310128217279757.html,"A recovered patient is discharged from hospital in Yinchuan, Ningxia Hui autonomous region"
31,2/23/20,https://img2.chinadaily.com.cn/images/202002/23/5e52062ca31012820655185a.jpeg,Capital sees no new cases in 24-hours,https://www.chinadaily.com.cn/a/202002/23/WS5e52062ca310128217279909.html,Staff members disinfect the block at Sanlitun SOHO in Beijing
32,2/24/20,https://img2.chinadaily.com.cn/images/202002/24/5e53a7a9a3101282065571fe.jpeg,China's education ministry upgrades free online learning platform for students,https://global.chinadaily.com.cn/a/202002/24/WS5e53a7a9a310128217279e5e.html,"Physics teacher Zhao Chuanliang gives an online class to his students at Henan Experimental Middle School in Zhengzhou, Henan province"
33,2/25/20,https://img2.chinadaily.com.cn/images/202002/25/5e54ec4da31012820655b870.jpeg,Coronavirus and world responsibility,https://global.chinadaily.com.cn/a/202002/25/WS5e54ec4da31012821727a38a.html,"Medical workers support each other in the ICU of Zhongnan Hospital of Wuhan University in Wuhan, Central China's Hubei province"
34,2/26/20,https://img2.chinadaily.com.cn/images/202002/26/5e563174a310128206560a05.jpeg,Book on China's fight against COVID-19 epidemic published,https://www.chinadaily.com.cn/a/202002/26/WS5e56238da31012821727a854.html,The book A Battle Against Epidemic is compiled to show China's efforts in strengthening cooperation with the international community to jointly safeguard global and regional public health security.
35,2/27/20,https://img2.chinadaily.com.cn/images/202002/27/5e579156a310128206565607.jpeg,Two more cases confirmed with novel coronavirus in the UK,https://www.chinadaily.com.cn/a/202002/27/WS5e579156a31012821727ada7.html,"A computer image created by Nexu Science Communication together with Trinity College in Dublin, shows a model structurally representative of a betacoronavirus which is the type of virus linked to COVID-19 shared with Reuters"
36,2/28/20,https://img2.chinadaily.com.cn/images/202002/29/5e5a39d7a310128206576b79.jpeg,"Nurses have made invaluable contribution, official says",https://www.chinadaily.com.cn/a/202002/29/WS5e5a39d7a31012821727b465.html,Medical workers from China-Japan Friendship Hospital in Beijing treat a coronavirus patient in an isolation ward at the Zhongfaxincheng campus of Tongji Hospital affiliated with Huazhong University of Science and Technology in Wuhan
37,2/29/20,https://img2.chinadaily.com.cn/images/202002/29/5e5a62b5a310128206577516.jpeg,Xi's article on improving epidemic prevention and control to be published,https://www.chinadaily.com.cn/a/202002/29/WS5e5a1bc1a31012821727b435.html,"Xi Jinping, general secretary of the Communist Party of China Central Committee, inspects the Beijing Ditan Hospital, a designated institution treating the novel coronavirus pneumonial in Beijing"
38,3/1/20,https://img2.chinadaily.com.cn/images/202003/01/5e5af5dca310128206577ad5.jpeg,Iran's president urges global action against COVID-19 outbreak,https://www.chinadaily.com.cn/a/202003/01/WS5e5af5dca31012821727b4e4.html,"An Iranian man wears a protective mask to prevent contracting coronavirus, as he walks on a street in Tehran, Iran"
39,3/2/20,https://img2.chinadaily.com.cn/images/202003/02/5e5cd305a31012820657db29.jpeg,"S. Korea confirms 599 more cases of COVID-19, 4,335 in total",https://global.chinadaily.com.cn/a/202003/02/WS5e5c6f8fa31012821727b860.html,"A couple wearing masks to prevent contacting the coronavirus rides on an escalator at a subway station in Seoul, South Korea,"
40,3/3/20,https://img2.chinadaily.com.cn/images/202003/03/5e5dad3fa31012820657f997.jpeg,"EU raises COVID-19 risk level, insists not to close interior borders",https://www.chinadaily.com.cn/a/202003/03/WS5e5d2d35a31012821727bb3c.html,"People wear masks as they walk in Milan, Italy"
